"","south.Species","south.Camr_Nm","south.Latitud","south.Longitd","na.rm"
"67","Canis latrans","K1",9.1407,-83.0672,TRUE
"68","Canis latrans","K1",9.1407,-83.0672,TRUE
"3006","Canis latrans","K2",9.1588,-83.065,TRUE
"3032","Canis latrans","K2",9.1588,-83.065,TRUE
"3033","Canis latrans","K2",9.1588,-83.065,TRUE
"3047","Canis latrans","K2",9.1588,-83.065,TRUE
"3353","Canis latrans","K3",9.1712,-83.0592,TRUE
"3373","Canis latrans","K3",9.1712,-83.0592,TRUE
"3379","Canis latrans","K3",9.1712,-83.0592,TRUE
"3380","Canis latrans","K3",9.1712,-83.0592,TRUE
"4800","Canis latrans","K5",9.2026,-83.0582,TRUE
"4801","Canis latrans","K5",9.2026,-83.0582,TRUE
"4802","Canis latrans","K5",9.2026,-83.0582,TRUE
"4805","Canis latrans","K5",9.2026,-83.0582,TRUE
"4806","Canis latrans","K5",9.2026,-83.0582,TRUE
"4807","Canis latrans","K5",9.2026,-83.0582,TRUE
"4808","Canis latrans","K5",9.2026,-83.0582,TRUE
"4813","Canis latrans","K5",9.2026,-83.0582,TRUE
"4815","Canis latrans","K5",9.2026,-83.0582,TRUE
"4817","Canis latrans","K5",9.2026,-83.0582,TRUE
"4818","Canis latrans","K5",9.2026,-83.0582,TRUE
"4822","Canis latrans","K5",9.2026,-83.0582,TRUE
"4826","Canis latrans","K5",9.2026,-83.0582,TRUE
"4831","Canis latrans","K5",9.2026,-83.0582,TRUE
"8133","Canis latrans","PILA01",9.0539,-82.9876,TRUE
"8159","Canis latrans","PILA01",9.0539,-82.9876,TRUE
"8389","Canis latrans","PILA01",9.0539,-82.9876,TRUE
"8397","Canis latrans","PILA01",9.0539,-82.9876,TRUE
"8400","Canis latrans","PILA01",9.0539,-82.9876,TRUE
"8421","Canis latrans","PILA01",9.0539,-82.9876,TRUE
"8471","Canis latrans","PILA01",9.0539,-82.9876,TRUE
"8487","Canis latrans","PILA01",9.0539,-82.9876,TRUE
"9425","Canis latrans","PILA02",9.0623,-82.9838,TRUE
"9566","Canis latrans","PILA02",9.0623,-82.9838,TRUE
"9599","Canis latrans","PILA02",9.0623,-82.9838,TRUE
"9886","Canis latrans","PILA03",9.0704,-82.9791,TRUE
"9888","Canis latrans","PILA03",9.0704,-82.9791,TRUE
"10118","Canis latrans","PILA04",9.0798,-82.9766,TRUE
"10121","Canis latrans","PILA04",9.0798,-82.9766,TRUE
"10130","Canis latrans","PILA04",9.0798,-82.9766,TRUE
"10139","Canis latrans","PILA04",9.0798,-82.9766,TRUE
"10141","Canis latrans","PILA04",9.0798,-82.9766,TRUE
"10151","Canis latrans","PILA04",9.0798,-82.9766,TRUE
"10152","Canis latrans","PILA04",9.0798,-82.9766,TRUE
"10166","Canis latrans","PILA04",9.0798,-82.9766,TRUE
"10189","Canis latrans","PILA04",9.0798,-82.9766,TRUE
"10455","Canis latrans","PILA05",9.0861,-82.9779,TRUE
"10469","Canis latrans","PILA05",9.0861,-82.9779,TRUE
"10499","Canis latrans","PILA05",9.0861,-82.9779,TRUE
"10537","Canis latrans","PILA05",9.0861,-82.9778,TRUE
"10547","Canis latrans","PILA05",9.0861,-82.9778,TRUE
"10561","Canis latrans","PILA05",9.0861,-82.9778,TRUE
"10564","Canis latrans","PILA05",9.0861,-82.9778,TRUE
"10568","Canis latrans","PILA05",9.0861,-82.9778,TRUE
"10572","Canis latrans","PILA05",9.0861,-82.9778,TRUE
"10581","Canis latrans","PILA05",9.0861,-82.9778,TRUE
"10584","Canis latrans","PILA05",9.0861,-82.9778,TRUE
"10585","Canis latrans","PILA05",9.0861,-82.9778,TRUE
"10589","Canis latrans","PILA05",9.0861,-82.9778,TRUE
"10593","Canis latrans","PILA05",9.0861,-82.9778,TRUE
"10600","Canis latrans","PILA05",9.0861,-82.9778,TRUE
"10609","Canis latrans","PILA05",9.0861,-82.9778,TRUE
"10898","Canis latrans","K01",9.14067,-83.0672,TRUE
"10899","Canis latrans","K01",9.14067,-83.0672,TRUE
"10900","Canis latrans","K01",9.14067,-83.0672,TRUE
"10901","Canis latrans","K01",9.14067,-83.0672,TRUE
"10902","Canis latrans","K01",9.14067,-83.0672,TRUE
"11412","Canis latrans","K02",9.15883,-83.06502,TRUE
"11413","Canis latrans","K02",9.15883,-83.06502,TRUE
"11414","Canis latrans","K02",9.15883,-83.06502,TRUE
"11415","Canis latrans","K02",9.15883,-83.06502,TRUE
"11699","Canis latrans","K02a",9.15883,-83.06502,TRUE
"11700","Canis latrans","K02a",9.15883,-83.06502,TRUE
"11701","Canis latrans","K02a",9.15883,-83.06502,TRUE
"12687","Canis latrans","K03",9.17116,-83.05924,TRUE
"12688","Canis latrans","K03",9.17116,-83.05924,TRUE
"12689","Canis latrans","K03",9.17116,-83.05924,TRUE
"12690","Canis latrans","K03",9.17116,-83.05924,TRUE
"14845","Canis latrans","K05",9.20264,-83.05823,TRUE
"14846","Canis latrans","K05",9.20264,-83.05823,TRUE
"14847","Canis latrans","K05",9.20264,-83.05823,TRUE
"14848","Canis latrans","K05",9.20264,-83.05823,TRUE
"14849","Canis latrans","K05",9.20264,-83.05823,TRUE
"14850","Canis latrans","K05",9.20264,-83.05823,TRUE
"14851","Canis latrans","K05",9.20264,-83.05823,TRUE
"15310","Canis latrans","K05b",9.20264,-83.05823,TRUE
"15311","Canis latrans","K05b",9.20264,-83.05823,TRUE
"23624","Canis latrans","CBQTC7",9.090548,-83.06159,TRUE
"24816","Canis latrans","CBQTC8",9.101672,-83.04232,TRUE
"24817","Canis latrans","CBQTC8",9.101672,-83.04232,TRUE
"24818","Canis latrans","CBQTC8",9.101672,-83.04232,TRUE
"24819","Canis latrans","CBQTC8",9.101672,-83.04232,TRUE
"24820","Canis latrans","CBQTC8",9.101672,-83.04232,TRUE
"26124","Canis latrans","PILA01",9.05387,-82.9876,TRUE
"26125","Canis latrans","PILA01",9.05387,-82.9876,TRUE
"26126","Canis latrans","PILA01",9.05387,-82.9876,TRUE
