Camr_Nm,Lat,Long
CBQTC1,9.125955,-83.05896
CBQTC2,9.08922,-83.06565
CBQTC5,9.071059,-83.0884
CBQTC6,9.078394,-83.07478
CBQTC7,9.090548,-83.06159
CBQTC8,9.101672,-83.04232
K01,9.14067,-83.0672
K02,9.15883,-83.06502
K03,9.17116,-83.05924
K04,9.18999,-83.06283
K05,9.20264,-83.05823
K06,9.22988,-83.07601
K07,9.24641,-83.07299
K08,9.25492,-83.06394
K09,9.25863,-83.05029
K10,9.264,-83.0405
PILA01,9.0539,-82.9876
PILA02,9.0623,-82.9838
PILA03,9.0704,-82.9791
PILA04,9.0798,-82.9766
PILA05,9.0861,-82.9779
PILA06,9.0954,-82.9763
PILA07,9.1011,-82.9723
PILA08,9.1015,-82.9677
PILA09,9.1093,-82.9625
PILA10,9.117,-82.9634
